Date,TCS.NS,INFY.NS,RELIANCE.NS
2021-04-15,2829.704345703125,1197.895751953125,881.6063842773438
2021-04-16,2808.7822265625,1191.733642578125,876.0745849609375
2021-04-19,2779.465576171875,1199.48046875,862.2901611328125
2021-04-20,2764.30126953125,1189.6207275390625,862.0408935546875
2021-04-22,2741.664794921875,1189.40087890625,864.42138671875
2021-04-23,2733.489990234375,1174.171142578125,863.4918823242188
2021-04-26,2725.842529296875,1182.75439453125,878.6818237304688
2021-04-27,2753.26904296875,1187.1119384765625,901.716064453125
2021-04-28,2746.324462890625,1193.71435546875,905.6382446289062
2021-04-29,2738.54443359375,1194.0224609375,917.767578125
2021-04-30,2668.56982421875,1192.26171875,904.36865234375
2021-05-03,2669.7568359375,1190.2371826171875,888.2944946289062
2021-05-04,2680.96533203125,1170.2977294921875,869.04638671875
2021-05-05,2721.3583984375,1180.94970703125,870.6334228515625
2021-05-06,2735.2041015625,1198.6439208984375,875.5757446289062
2021-05-07,2754.06005859375,1190.6773681640625,875.9158325195312
2021-05-10,2765.136474609375,1179.2330322265625,873.3992919921875
2021-05-11,2745.006103515625,1171.3980712890625,876.5506591796875
2021-05-12,2714.238525390625,1168.18505859375,867.48193359375
2021-05-14,2682.503173828125,1158.853759765625,878.4324340820312
2021-05-17,2698.5458984375,1170.2977294921875,888.8839111328125
2021-05-18,2715.293212890625,1179.6292724609375,901.3986206054688
2021-05-19,2709.3154296875,1176.98828125,905.5248413085938
2021-05-20,2689.975830078125,1179.01318359375,900.2423706054688
2021-05-21,2707.99658203125,1192.393798828125,908.018798828125
2021-05-24,2708.87548828125,1186.7159423828125,900.355712890625
2021-05-25,2750.8359375,1198.6439208984375,890.153564453125
2021-05-26,2790.146240234375,1230.0274658203125,893.2822265625
2021-05-27,2809.138916015625,1234.42919921875,896.0255737304688
2021-05-28,2776.98388671875,1236.894287109375,949.8478393554688
2021-05-31,2790.720703125,1240.1865234375,979.5474853515625
2021-06-01,2785.287841796875,1234.3580322265625,983.4470825195312
2021-06-02,2764.484130859375,1226.75,998.1155395507812
2021-06-03,2774.907958984375,1236.538330078125,1001.9243774414062
2021-06-04,2777.1162109375,1232.9788818359375,993.2411499023438
2021-06-07,2811.965576171875,1236.538330078125,1009.9727172851562
2021-06-08,2826.938720703125,1257.2708740234375,1004.1688842773438
2021-06-09,2827.027099609375,1259.3621826171875,986.2129516601562
2021-06-10,2841.646728515625,1267.37060546875,989.8405151367188
2021-06-11,2891.99951171875,1287.480224609375,1007.0098266601562
2021-06-14,2894.25244140625,1300.7386474609375,1021.4564208984375
2021-06-15,2882.23828125,1311.5054931640625,1023.7769775390625
2021-06-16,2892.485595703125,1317.467041015625,1006.3045654296875
2021-06-17,2930.824462890625,1330.5478515625,1008.1473388671875
2021-06-18,2912.759521484375,1337.6661376953125,1012.697509765625
2021-06-21,2891.380859375,1334.996826171875,1017.9756469726562
2021-06-22,2916.2041015625,1345.27392578125,1012.7429809570312
2021-06-23,2881.045654296875,1337.5328369140625,1003.4607543945312
2021-06-24,2980.16064453125,1387.406982421875,979.8683471679688
2021-06-25,2986.52099609375,1400.7542724609375,957.550048828125
2021-06-28,2947.608154296875,1398.6187744140625,949.1550903320312
2021-06-29,2951.230224609375,1390.8330078125,949.9740600585938
2021-06-30,2955.558837890625,1406.627197265625,960.37109375
2021-07-01,2951.80419921875,1388.4747314453125,954.5924682617188
2021-07-02,2937.626220703125,1395.0595703125,968.7432861328125
2021-07-05,2933.695068359375,1404.98095703125,978.3668823242188
2021-07-06,2881.840576171875,1390.076416015625,966.8095703125
2021-07-07,2893.015625,1392.212158203125,960.09814453125
2021-07-08,2878.483642578125,1388.7862548828125,952.1580810546875
2021-07-09,2834.006103515625,1390.6993408203125,942.4209594726562
2021-07-12,2820.711181640625,1377.3077392578125,948.2906494140625
2021-07-13,2815.808837890625,1374.72705078125,955.3887329101562
2021-07-14,2839.65966796875,1403.1571044921875,949.1550903320312
2021-07-15,2835.58740234375,1406.627197265625,947.4943237304688
2021-07-16,2828.372802734375,1384.070068359375,961.1674194335938
2021-07-19,2819.341796875,1371.835205078125,955.0474853515625
2021-07-20,2838.1103515625,1379.2652587890625,952.7041625976562
2021-07-22,2847.450439453125,1414.9913330078125,964.9439697265625
2021-07-23,2844.351806640625,1415.2139892578125,958.1188354492188
2021-07-26,2830.806640625,1427.18212890625,944.99169921875
2021-07-27,2817.880859375,1425.9808349609375,935.0496826171875
2021-07-28,2831.02734375,1428.69482421875,927.0187377929688
2021-07-29,2829.25732421875,1438.838623046875,934.25341796875
2021-07-30,2804.158203125,1433.0548095703125,926.0859985351562
2021-08-02,2850.150390625,1451.78564453125,943.012451171875
2021-08-03,2908.1376953125,1472.8297119140625,949.9513549804688
2021-08-04,2898.443603515625,1467.5352783203125,957.2316284179688
2021-08-05,2907.29638671875,1471.3616943359375,971.1094360351562
2021-08-06,2930.181396484375,1468.380615234375,950.5429077148438
2021-08-09,2941.6025390625,1480.0374755859375,945.128173828125
2021-08-10,2951.517822265625,1492.4505615234375,950.0877685546875
2021-08-11,2960.63623046875,1492.7174072265625,963.39697265625
2021-08-12,2967.32080078125,1503.4393310546875,960.3029174804688
2021-08-13,3066.16455078125,1523.5494384765625,976.2965087890625
2021-08-16,3074.61962890625,1516.60888671875,988.9686889648438
2021-08-17,3145.532470703125,1549.7547607421875,984.7597045898438
2021-08-18,3152.172119140625,1542.4581298828125,988.5818481445312
2021-08-20,3151.242431640625,1542.0133056640625,977.4796142578125
2021-08-23,3220.20751953125,1547.1741943359375,983.8953247070312
2021-08-24,3198.783203125,1531.246337890625,993.6098022460938
2021-08-25,3239.33056640625,1544.326904296875,1002.20947265625
2021-08-26,3250.70654296875,1537.3416748046875,1014.881591796875
2021-08-27,3293.467041015625,1520.524169921875,1013.4937133789062
2021-08-30,3276.779052734375,1510.958740234375,1032.990966796875
2021-08-31,3352.16259765625,1518.43310546875,1027.4854736328125
2021-09-01,3288.863037109375,1492.895263671875,1031.5577392578125
2021-09-02,3396.693115234375,1502.99462890625,1043.979736328125
2021-09-03,3401.38525390625,1513.2718505859375,1086.7962646484375
2021-09-06,3410.194091796875,1539.744384765625,1103.6773681640625
2021-09-07,3378.234375,1518.6109619140625,1110.638916015625
2021-09-08,3341.2734375,1506.6873779296875,1106.29345703125
2021-09-09,3356.545166015625,1505.21923828125,1103.6773681640625
2021-09-13,3404.306884765625,1505.4862060546875,1079.083740234375
2021-09-14,3440.2060546875,1500.3697509765625,1077.6732177734375
2021-09-15,3500.982421875,1522.8822021484375,1082.1551513671875
2021-09-16,3455.61083984375,1514.69580078125,1104.8602294921875
2021-09-17,3388.814453125,1504.952392578125,1087.7288818359375
2021-09-20,3384.962646484375,1501.88232421875,1089.4581298828125
2021-09-21,3419.888427734375,1529.11083984375,1094.16748046875
2021-09-22,3419.18017578125,1527.731689453125,1105.90673828125
2021-09-23,3425.465576171875,1550.5556640625,1132.9344482421875
2021-09-24,3427.28076171875,1569.5086669921875,1129.6583251953125
2021-09-27,3396.8701171875,1531.5135498046875,1148.655029296875
2021-09-28,3345.699462890625,1501.2149658203125,1159.393310546875
2021-09-29,3356.9873046875,1505.797607421875,1150.2022705078125
2021-09-30,3342.5126953125,1490.6260986328125,1146.2889404296875
2021-10-01,3302.364013671875,1481.68359375,1148.3138427734375
2021-10-04,3340.520751953125,1493.7850341796875,1163.078857421875
2021-10-05,3393.639404296875,1506.287109375,1187.2174072265625
2021-10-06,3373.807861328125,1489.1578369140625,1164.762451171875
2021-10-07,3446.40283203125,1504.6854248046875,1170.472900390625
2021-10-08,3484.25,1533.9158935546875,1215.4510498046875
2021-10-11,3262.87890625,1504.6407470703125,1206.9876708984375
2021-10-12,3233.885986328125,1499.4798583984375,1213.8809814453125
2021-10-13,3235.966064453125,1520.8798828125,1226.2347412109375
2021-10-14,3203.368896484375,1526.7083740234375,1228.7144775390625
2021-10-18,3235.034912109375,1594.690673828125,1231.9906005859375
2021-10-19,3223.50390625,1621.38525390625,1243.0245361328125
2021-10-20,3201.062744140625,1603.7667236328125,1228.7144775390625
2021-10-21,3133.33984375,1560.4326171875,1193.26904296875
2021-10-22,3103.491943359375,1530.31201171875,1195.49853515625
2021-10-25,3098.2587890625,1519.4119873046875,1183.850341796875
2021-10-26,3089.07861328125,1529.421142578125,1210.8096923828125
2021-10-27,3095.4208984375,1552.08837890625,1195.49853515625
2021-10-28,3035.015869140625,1529.6007080078125,1182.39404296875
2021-10-29,3013.816650390625,1497.148681640625,1154.0242919921875
2021-11-01,3083.578857421875,1526.144775390625,1154.729736328125
2021-11-02,3090.497802734375,1524.214599609375,1137.89404296875
2021-11-03,3097.638671875,1528.3441162109375,1130.06787109375
2021-11-04,3112.185546875,1533.909912109375,1137.0067138671875
2021-11-08,3106.95166015625,1559.7637939453125,1138.4173583984375
2021-11-09,3109.568115234375,1564.2523193359375,1147.40380859375
2021-11-10,3090.586669921875,1562.1424560546875,1160.235107421875
2021-11-11,3094.045654296875,1555.993408203125,1162.35107421875
2021-11-12,3127.618896484375,1598.0958251953125,1179.8916015625
2021-11-15,3151.789794921875,1604.334716796875,1172.929931640625
2021-11-16,3154.5390625,1608.9581298828125,1145.6748046875
2021-11-17,3123.937744140625,1604.6041259765625,1121.149658203125
2021-11-18,3082.9580078125,1597.377685546875,1125.3812255859375
2021-11-22,3067.61279296875,1579.423583984375,1075.5347900390625
2021-11-23,3072.8017578125,1559.2252197265625,1085.5904541015625
2021-11-24,3054.218994140625,1522.5089111328125,1069.915283203125
2021-11-25,3056.52490234375,1546.20849609375,1134.3221435546875
2021-11-26,3057.36767578125,1518.6038818359375,1097.761962890625
2021-11-29,3106.286376953125,1522.8233642578125,1110.9117431640625
2021-11-30,3130.3681640625,1537.4556884765625,1094.48583984375
2021-12-01,3173.521240234375,1539.4757080078125,1122.5147705078125
2021-12-02,3231.26513671875,1569.4140625,1129.7265625
2021-12-03,3229.091796875,1558.013427734375,1095.78271484375
2021-12-06,3136.799072265625,1521.8804931640625,1075.011474609375
2021-12-07,3179.46435546875,1536.5582275390625,1083.7703857421875
2021-12-08,3217.072998046875,1573.9921875,1100.264404296875
2021-12-09,3194.765380859375,1583.059326171875,1117.71435546875
2021-12-10,3225.85498046875,1579.2886962890625,1118.851806640625
2021-12-13,3201.7724609375,1566.1824951171875,1096.419677734375
2021-12-14,3214.3232421875,1572.9151611328125,1082.9967041015625
2021-12-15,3166.913330078125,1556.80126953125,1079.8345947265625
2021-12-16,3176.891845703125,1590.3753662109375,1093.80322265625
2021-12-17,3179.3310546875,1634.58740234375,1064.932861328125
2021-12-20,3154.98291015625,1614.8828125,1036.2218017578125
2021-12-21,3200.57470703125,1626.28369140625,1051.646484375
2021-12-22,3220.488037109375,1638.0438232421875,1076.6038818359375
2021-12-23,3248.8271484375,1667.5780029296875,1076.2171630859375
2021-12-24,3256.101318359375,1672.874755859375,1079.652587890625
2021-12-27,3278.453857421875,1675.253662109375,1078.4921875
2021-12-28,3287.72314453125,1694.86865234375,1091.3009033203125
2021-12-29,3277.21240234375,1692.6689453125,1093.16650390625
2021-12-30,3311.849853515625,1699.2222900390625,1073.4189453125
2021-12-31,3315.9296875,1694.6439208984375,1077.5367431640625
2022-01-03,3386.357421875,1704.2496337890625,1093.7806396484375
2022-01-04,3445.786865234375,1704.8780517578125,1118.465087890625
2022-01-05,3424.67626953125,1655.952880859375,1123.6976318359375
2022-01-06,3377.222412109375,1631.8497314453125,1099.53662109375
2022-01-07,3418.068115234375,1628.7076416015625,1108.4093017578125
2022-01-10,3441.44091796875,1661.4288330078125,1109.3193359375
2022-01-11,3473.4169921875,1665.7828369140625,1117.3048095703125
2022-01-12,3423.744384765625,1685.3974609375,1147.1307373046875
2022-01-13,3457.450927734375,1702.768310546875,1153.592041015625
